future_name,month,date,open,high,low,close,change,volume,open_int,open_int_change
Corn(CBOT),2021-07-01,2019-11-04,422.5,422.75,421.5,422.0,-2.25,61,2995,-27
Corn(CBOT),2021-07-01,2020-01-14,420.0,420.75,419.0,420.25,-0.5,456,6901,285
Corn(CBOT),2021-07-01,2020-01-28,412.0,414.0,410.75,413.75,2.0,660,8998,-2
Corn(CBOT),2021-07-01,2020-12-22,442.25,445.0,439.5,444.25,2.0,28364,226018,4462
Corn(CBOT),2021-07-01,2021-01-05,483.0,494.25,481.75,490.5,8.25,38181,239292,2400
Corn(CBOT),2021-07-01,2020-03-16,387.5,390.25,384.25,384.75,-5.0,3807,24943,630
Corn(CBOT),2021-07-01,2020-10-08,405.0,409.5,402.5,403.0,-2.25,21157,132532,1949
Corn(CBOT),2021-07-01,2021-01-11,494.0,497.75,489.5,491.25,-3.5,62396,257514,4962
Corn(CBOT),2021-07-01,2020-03-02,394.75,397.75,394.5,397.5,1.75,2019,19467,209
Corn(CBOT),2021-07-01,2020-10-20,411.25,416.0,410.25,415.5,3.5,34822,140301,5704
Corn(CBOT),2021-07-01,2020-03-27,383.5,384.75,377.5,380.5,-3.5,1559,32382,590
Corn(CBOT),2021-07-01,2021-01-20,524.0,524.0,511.25,519.25,-5.75,59998,272906,-212
Corn(CBOT),2021-07-01,2020-10-05,397.0,400.5,396.0,398.25,-0.25,23750,128431,-181
Corn(CBOT),2021-07-01,2021-01-08,493.25,499.0,492.0,494.75,1.25,58845,252552,4213
Corn(CBOT),2021-07-01,2020-01-31,408.5,409.0,405.25,407.25,0.5,413,9697,251
Corn(CBOT),2021-07-01,2021-03-22,538.75,539.5,529.5,531.5,-7.25,82610,400416,-12560
Corn(CBOT),2021-07-01,2020-12-07,422.25,428.5,419.0,427.75,3.75,29395,216348,691
Corn(CBOT),2021-07-01,2019-11-21,412.75,413.5,412.75,413.0,0.25,70,3077,22
Corn(CBOT),2021-07-01,2020-07-23,356.5,358.5,354.75,357.75,1.25,6538,82703,55
Corn(CBOT),2021-07-01,2020-09-10,381.25,386.0,381.0,385.25,3.5,15289,98197,278
Corn(CBOT),2021-07-01,2020-09-04,375.75,380.75,375.75,379.25,3.25,12704,98132,693
Corn(CBOT),2021-07-01,2019-08-20,423.75,425.25,422.75,422.75,-1.0,38,2089,0
Corn(CBOT),2021-07-01,2020-05-21,359.0,359.75,357.0,358.75,-0.5,5097,64362,692
Corn(CBOT),2021-07-01,2019-08-08,432.5,433.75,432.0,433.0,1.75,35,1841,-25
Corn(CBOT),2021-07-01,2019-08-09,434.0,434.5,431.5,432.75,-0.25,48,1852,11
Corn(CBOT),2021-07-01,2020-05-08,360.0,363.75,359.25,362.0,2.25,5640,56484,846
Corn(CBOT),2021-07-01,2020-05-20,358.75,359.75,356.25,359.25,0.75,2988,63670,703
Corn(CBOT),2021-07-01,2019-08-21,423.5,425.25,423.5,425.25,2.5,15,2093,4
Corn(CBOT),2021-07-01,2020-09-11,385.0,388.75,383.25,388.0,2.75,10447,98618,421
Corn(CBOT),2021-07-01,2020-07-22,353.5,356.75,353.5,356.5,2.75,9406,82648,1648
Corn(CBOT),2021-07-01,2019-11-08,418.75,422.5,416.25,419.75,1.25,173,3017,-23
Corn(CBOT),2021-07-01,2019-11-20,414.25,414.25,412.75,412.75,-1.75,11,3055,1
Corn(CBOT),2021-07-01,2021-03-23,533.0,537.5,528.5,534.25,2.75,73556,395027,-5389
Corn(CBOT),2021-07-01,2020-01-30,411.75,411.75,406.25,406.75,-5.0,742,9446,448
Corn(CBOT),2021-07-01,2020-01-24,418.5,418.5,413.75,414.25,-5.0,616,8536,307
Corn(CBOT),2021-07-01,2021-01-21,517.75,528.25,516.25,522.25,3.0,52496,276448,3542
Corn(CBOT),2021-07-01,2020-03-26,381.75,384.5,380.75,384.0,0.5,1500,31792,260
Corn(CBOT),2021-07-01,2020-03-30,377.25,381.0,374.75,376.75,-3.75,2384,32886,504
Corn(CBOT),2021-07-01,2020-03-24,380.0,383.5,376.0,381.5,1.25,2533,31086,343
Corn(CBOT),2021-07-01,2020-10-12,409.0,412.0,402.5,403.75,-5.75,33295,129940,-4987
Corn(CBOT),2021-07-01,2020-10-06,397.0,405.75,397.0,402.75,4.5,21149,130606,2175
Corn(CBOT),2021-07-01,2020-03-18,381.5,383.5,374.5,376.25,-5.5,4248,27042,533
Corn(CBOT),2021-07-01,2020-12-10,427.5,430.5,425.0,425.75,-1.75,21975,214155,43
Corn(CBOT),2021-07-01,2021-03-09,535.75,536.0,525.75,534.75,-1.25,70075,399902,-2166
Corn(CBOT),2021-07-01,2020-12-04,429.0,429.25,422.75,424.0,-5.5,30527,215657,320
Corn(CBOT),2021-07-01,2019-11-22,412.5,412.75,411.25,411.75,-1.25,47,3046,-31
Corn(CBOT),2021-07-01,2020-07-20,361.0,361.0,354.75,358.25,-2.5,7624,80623,-54
Corn(CBOT),2021-07-01,2020-07-08,372.5,375.0,369.0,375.0,1.75,8989,77090,627
Corn(CBOT),2021-07-01,2020-05-22,358.75,359.25,356.25,358.0,-0.75,2303,64407,45
Corn(CBOT),2021-07-01,2019-08-23,422.75,423.5,422.75,423.5,-1.75,13,2102,-5
Corn(CBOT),2021-07-01,2019-08-22,425.75,426.75,424.0,425.25,0.0,32,2107,14
Corn(CBOT),2021-07-01,2020-07-09,374.75,379.5,373.75,376.25,1.25,6986,77803,713
Corn(CBOT),2021-07-01,2020-07-21,357.75,357.75,353.25,353.75,-4.5,4935,81000,377
Corn(CBOT),2021-07-01,2021-03-08,537.0,543.5,526.0,536.0,2.0,86782,402068,-794
Corn(CBOT),2021-07-01,2020-12-11,426.0,428.75,422.0,428.25,2.5,22864,213894,-261
Corn(CBOT),2021-07-01,2020-01-27,413.0,413.0,408.75,411.75,-2.5,704,9000,464
Corn(CBOT),2021-07-01,2020-03-19,376.25,386.25,376.25,379.5,3.25,3881,27377,335
Corn(CBOT),2021-07-01,2020-10-07,402.25,408.5,401.5,405.25,2.5,16724,130583,-23
Corn(CBOT),2021-07-01,2020-10-13,403.5,407.0,403.0,405.5,1.75,38105,132137,2197
Corn(CBOT),2021-07-01,2020-03-25,383.25,384.75,380.75,383.5,2.0,1869,31532,446
Corn(CBOT),2021-07-01,2020-03-31,376.75,379.5,373.25,377.5,0.75,1977,34003,1117
Corn(CBOT),2021-07-01,2021-01-22,520.75,520.75,497.25,498.75,-23.5,57404,278989,2541
Corn(CBOT),2021-07-01,2020-03-09,394.5,396.75,393.5,396.25,-3.75,983,22554,431
Corn(CBOT),2021-07-01,2021-01-26,510.5,529.25,506.0,527.5,17.5,62292,289948,5904
Corn(CBOT),2021-07-01,2021-03-18,541.0,541.5,529.25,530.25,-12.25,55959,409108,685
Corn(CBOT),2021-07-01,2020-12-15,428.75,429.25,425.0,428.75,0.25,27258,216101,2166
Corn(CBOT),2021-07-01,2020-12-01,429.75,432.25,424.0,424.75,-5.0,12061,214379,208
Corn(CBOT),2021-07-01,2021-03-24,533.75,537.5,532.0,537.25,3.0,52354,401128,6101
Corn(CBOT),2021-07-01,2020-12-29,453.75,464.5,451.75,464.0,9.5,17489,233518,-397
Corn(CBOT),2021-07-01,2021-03-30,530.75,531.75,518.25,522.5,-8.75,53091,414367,2452
Corn(CBOT),2021-07-01,2020-01-23,416.5,419.25,415.75,419.25,2.5,380,8229,240
Corn(CBOT),2021-07-01,2020-07-31,351.75,353.25,351.25,352.25,0.25,6977,84260,548
Corn(CBOT),2021-07-01,2020-09-02,378.0,379.75,375.0,379.5,1.0,15866,96445,1039
Corn(CBOT),2021-07-01,2020-09-16,384.75,390.0,381.0,389.75,4.75,12355,106143,1472
Corn(CBOT),2021-07-01,2020-05-27,359.0,360.5,358.5,359.25,0.0,1385,64505,98
Corn(CBOT),2021-07-01,2019-08-26,424.25,425.0,423.25,424.5,1.0,13,2091,-11
Corn(CBOT),2021-07-01,2019-08-27,423.25,423.5,422.5,422.5,-2.0,22,2092,1
Corn(CBOT),2021-07-01,2020-05-26,355.0,361.25,355.0,359.25,1.25,1332,64407,0
Corn(CBOT),2021-07-01,2020-09-17,389.0,393.0,386.0,391.75,2.0,14709,107210,1067
Corn(CBOT),2021-07-01,2020-09-03,379.0,379.75,375.5,376.0,-3.5,15908,97439,994
Corn(CBOT),2021-07-01,2020-07-30,352.25,354.75,351.5,352.0,0.0,6549,83712,793
Corn(CBOT),2021-07-01,2020-07-24,358.0,360.0,357.25,358.5,0.75,6251,82964,261
Corn(CBOT),2021-07-01,2019-11-26,413.0,413.0,410.5,410.75,-2.75,377,3217,171
Corn(CBOT),2021-07-01,2020-01-22,419.0,419.25,416.5,416.75,-0.75,286,7989,136
Corn(CBOT),2021-07-01,2021-03-31,520.5,547.5,518.5,547.5,25.0,46087,420273,5906
Corn(CBOT),2021-07-01,2020-12-28,450.25,455.5,448.0,454.5,4.25,37813,233915,6349
Corn(CBOT),2021-07-01,2021-03-25,535.75,536.5,527.5,532.5,-4.75,53516,406369,5241
Corn(CBOT),2021-07-01,2020-12-14,428.25,433.0,426.25,428.5,0.25,33754,213935,41
Corn(CBOT),2021-07-01,2021-03-19,530.5,539.5,529.5,538.75,8.5,58068,412976,3868
Corn(CBOT),2021-07-01,2020-03-20,379.5,385.0,378.5,379.5,0.0,5115,28608,1231
Corn(CBOT),2021-07-01,2021-01-27,527.5,537.25,523.5,528.0,0.5,60980,294582,4634
Corn(CBOT),2021-07-01,2020-10-02,399.75,401.5,396.0,398.5,-2.5,37002,128612,1656
Corn(CBOT),2021-07-01,2020-10-16,408.75,413.0,407.5,408.75,-0.5,25145,130115,-32
Corn(CBOT),2021-07-01,2020-10-14,405.0,406.5,401.75,406.25,0.75,20419,131749,-388
Corn(CBOT),2021-07-01,2021-01-19,531.0,534.0,522.5,525.0,-7.0,68651,273118,3941
Corn(CBOT),2021-07-01,2020-10-28,416.5,417.0,404.75,405.75,-11.5,27170,161484,5652
Corn(CBOT),2021-07-01,2021-01-25,499.0,513.0,490.0,510.0,11.25,42267,284044,5055
Corn(CBOT),2021-07-01,2020-12-02,424.0,427.75,419.0,426.75,2.0,30187,215655,1276
Corn(CBOT),2021-07-01,2020-01-08,415.0,417.5,415.0,417.0,-0.25,179,4966,125
Corn(CBOT),2021-07-01,2020-12-16,428.75,432.5,427.5,430.5,1.75,18302,217681,1580
Corn(CBOT),2021-07-01,2019-11-18,414.0,414.5,412.25,412.5,-2.25,78,3038,18
Corn(CBOT),2021-07-01,2020-09-15,387.75,388.0,384.0,385.0,-3.25,29717,104671,2574
Corn(CBOT),2021-07-01,2020-09-01,376.75,378.75,372.25,378.5,0.5,13354,95406,763
Corn(CBOT),2021-07-01,2020-09-29,384.0,385.5,380.5,384.0,-1.0,12571,124072,1842
Corn(CBOT),2021-07-01,2019-08-19,424.5,424.5,422.75,423.75,-2.75,112,2089,8
Corn(CBOT),2021-07-01,2020-05-18,358.5,359.25,356.0,357.5,0.0,3320,62681,409
Corn(CBOT),2021-07-01,2020-05-19,357.5,359.75,357.0,358.5,1.0,1529,62967,286
Corn(CBOT),2021-07-01,2020-09-28,381.5,386.75,378.5,385.0,2.5,13720,122230,661
Corn(CBOT),2021-07-01,2020-09-14,388.25,389.25,386.25,388.25,0.25,25688,102097,3479
Corn(CBOT),2021-07-01,2020-07-27,357.0,359.75,356.0,357.75,-0.75,6270,82873,-91
Corn(CBOT),2021-07-01,2019-11-25,412.5,414.75,412.0,413.5,1.75,64,3046,0
Corn(CBOT),2021-07-01,2019-11-19,414.25,415.0,413.75,414.5,2.0,33,3054,16
Corn(CBOT),2021-07-01,2021-03-26,532.5,536.75,529.5,535.75,3.25,43878,408979,2610
Corn(CBOT),2021-07-01,2020-01-21,417.0,417.75,415.75,417.5,-1.5,1057,7853,521
Corn(CBOT),2021-07-01,2020-12-17,429.25,435.5,427.5,435.25,4.75,17119,219544,1863
Corn(CBOT),2021-07-01,2020-01-09,417.0,418.0,415.25,416.5,-0.5,898,5701,735
Corn(CBOT),2021-07-01,2020-12-03,426.75,430.0,425.25,429.5,2.75,34247,215337,-318
Corn(CBOT),2021-07-01,2020-10-29,405.25,407.5,398.25,404.25,-1.5,36033,162546,1062
Corn(CBOT),2021-07-01,2020-03-23,377.25,380.75,377.25,380.25,0.75,6329,30743,2135
Corn(CBOT),2021-07-01,2020-10-15,405.5,410.0,403.0,409.25,3.0,14676,130147,-1602
Corn(CBOT),2021-07-01,2020-10-01,396.25,402.0,396.0,401.0,3.75,11555,126956,739
Corn(CBOT),2021-07-01,2020-04-22,357.5,363.75,355.75,361.0,3.5,1964,44820,626
Corn(CBOT),2021-07-01,2019-09-23,422.5,423.75,422.25,422.5,1.0,54,2488,12
Corn(CBOT),2021-07-01,2021-04-27,660.25,684.0,646.0,654.5,-3.0,233004,750133,10148
